序号,地区,评论
10,湖北省,"

                        电影开场的第一幕，是奥利维娅·科尔曼所饰演的女儿赶来看望安东尼·霍普金斯所饰演的父亲。在这场平淡无奇的开场中，比较不寻常的是，始终搭配着看似无源的交响乐。伴随着进入父亲所住公寓，父亲摘下了正在播放交响乐的耳机，“无源”的配乐随之戛然而止，环境音才又重新占据...

                         "
11,广东省,"

                        记忆、时间、空间交错的故事艺术 《困在时间里的父亲》（The Father 以下简称《父亲》）在初次观影后，会对其精妙的碎片式叙事方式将观众深刻代入阿兹海默症（老年痴呆）扭曲的记忆拍案叫绝。 上一次被玩得晕头转向产生“记忆失常”感受的还是诺兰的《记忆碎片》和斯科塞斯的《...

                         "
12,山西省,"刚到英国的时候，在剑桥，那个时候拼命的想要学习英语，每天晚上看非常多的剧，睡觉的时候还一直在听广播，甚至参加越来越多的报告，并且还去theater去看各种话剧。而其中比较深刻的就是去一个给老人办的面对死亡的座谈会。全场看过去，平均年龄应该七八十岁，少数几个如同我一...

                         "
13,辽宁省,"

                        父亲在孩子年幼时是为他们遮风挡雨的大树，当他老了的时候，孩子就是父亲的根。——题记 世界上最可怕的事物，莫过于遗忘。而阿尔兹海默症就是遗忘这种酷刑的集合体，得这种病的人往往会沉溺于自己的往事之中无法自拔，他的每一天，都过得好像是惊悚片。在电影《被困在时间里的...

                         "
14,江苏省,"《困在时间里的父亲》电影剧本 文/〔法国〕弗洛里安·泽勒、〔英国〕克里斯托弗·汉普顿 译/曹轶 1.外景，伦敦的一条街道，日 音乐声。安妮走出地铁口，来到伦敦的一条大街上。她行色匆匆，神情严肃。 她出现在一个熟悉的公寓楼街区。她匆匆穿过街道，差点撞上一辆出租车。她走...

                         "
15,黑龙江省,"

                        光看海报和片名，就能大致猜到影片想要传达的主题。耳边经常能听到年轻多么的美好，把握好青春，透过电影表达出对那段岁月的追忆和缅怀，甚至成为了一种受追捧的“类型片”，但疾病和衰老却和死亡一样，被很多人视为禁忌，甚至会避而不谈。 没法自欺欺人的是这是所有人最终都要...

                         "
16,上海市,"

                        有些人来来去去，留下印记，随着时间的流逝，印记越来越模糊，人生何尝不是一个得阿兹海默症的过程？ 这是一篇很个人的影评。 年纪越大，越相信缘分。早先问友邻要了电影资源，因为这样那样的原因没看成，之后端午节又打算看《天堂电影院》的重映，还是没看成。假期结束后，偶...

                         "
17,广东省,"1、这三部都是最近一年很有影响力的电影，《蓝调天后》和《困在时间里的父亲 》成就了演员（奥斯卡加起来三个表演类提名），《间谍之妻》成就了导演（威尼斯最佳导演黑泽清 ）。 2、三部片子舞台感都很强，《蓝调天后》和《困在时间里的父亲 》则都有戏剧原作。 3、舞台感或者...

                         "
18,黑龙江省,"1 剧情并不奇异，而表现手法，奇奇怪怪。 场景并不梦幻，而场景变变幻幻，真真假假，这才如梦似幻。 其间的跳脱、遗憾和悔恨，我想用晏几道的几个句子来说明： 花阴月，柳梢莺，近清明。 长恨去年今夜雨，洒离亭。 （又）楼前路，曾试雕鞍， 拼却一襟怀远泪，倚阑看！ 和晏几道...

                         "
19,重庆市,"关于老人的电影不多，关于老人的好电影更少。最为稀罕的，是那些拒绝为衰老披上糖衣的作品，它们似乎用某种诚实，为人的命运轨迹给予冷静的关怀。老年期的种种生活考验，有没有像阿尔兹海默症所造成的自我侵蚀那样令人恐惧、令人心碎呢？法国剧作家兼导演弗洛里安·泽勒在《困...

                         "
