序号,地区,评论
10,江苏省,"我们做卫生，为了健康。 我们做卫生，讲究默契。 学龄前，奶奶帮我洗漱，奶奶的手掌很有厚度，很轻柔。爷爷擦桌子、扫地擦地、刷马桶时，微微张着嘴像上岸换气的鱼。我大概是受爷爷影响，也学着擦柜子，擦窗台。我妈妈最擅长把东西藏起来，也就是收纳起来，这样表面看上去很简...

                         "
11,广西壮族自治区,"跨年档想看的挺多，最后选择了这部喜剧《温暖的抱抱》。没有抱着太高的预期，所以最后也觉得它作为一部商业喜剧片还算合格。本着对麻花一众演员的期待，没想到李沁也有出演。作为一个以古装和正剧见长的女演员，也是我在90花里比较好感的一位，在这部电影里看到她还是充满惊喜...

                         "
12,重庆市,"当年跨年期间一个人去看的这个电影，剧情的情节很戳我，回想一年来的点点滴滴，好像在这一瞬间，化为乌有。 影片和它的名字一样，真的很温暖！ 电影中好多表达方式传递着含义。像主人公鲍抱、宋温暖的名字与《温暖的抱抱》片名的谐音，还有电影的演绎和内核上，都在告诉大家传...

                         "
13,海南省,"刚刚上映的时候很想去看但又没去看的电影《温暖的抱抱》，昨晚偶然点开。虽然存在一些不太合理的情节，但我在欢笑之余也有感动。 看到可怜的小鲍抱独自一个人忍受着孤单，我仿佛看到了小时候孤单但又坚强不服输的自己。父母从小不在身边，我是在爷爷奶奶身边长大的，跟爸爸妈妈...

                         "
14,江西省,"我觉得它是一部很好看的喜剧，剧情设计独特给了观众不一样的视觉体验。电影中的男主角鲍抱是个有严重洁癖和强迫症的人，做什么事情都喜欢卡在整点上，有些行为其实一点也不夸张，生活中也不是不存在这样的，不过男主确实是有问题的，他无法触碰别人，无法拥抱别人，因为他从小...

                         "
15,广西壮族自治区,"我就针对电影里的歌曲，韩版那歌多好听，给我当时观影留下了深刻的印象，音乐是重要的一环，而国版音乐什么玩意，里面还有个男声插曲唱的那个虚都喘不过来气了。影片里原创歌曲什么玩意啊，还能进决赛，关键真有胆量搞这种音乐电影，我满怀期待希望能听到美妙的歌曲，可是“小...

                         "
16,湖南省,"这个强迫症呢，稍微有一点，我还可以接受，但是太夸张了的话，的确有点可怕😱 真的有点搞笑。 这里有点尴尬…… 到这个歌突然还行 虽然假唱明显 入戏太深，好搞笑 要死啊 是啊 计划有变，我没死了 hhhhhhh 生的干净，死的准时 哈哈哈哈哈哈我这毕竟是灵车 好运来  签名照 这...

                         "
17,安徽省,"在微信视频号里刷到一段短视频，觉得挺搞笑于是就下载下来看，没想到一上来就整了段儿音乐脱口秀，就类似于王勉那种边说边弹唱，不知表演风格是谁借鉴的谁？ 其实立意还算不错——借一个温暖的故事来呼吁关注特殊群体。只是用综艺和小品的语言结构处理一部电影，确实有那么点儿...

                         "
18,北京市,"第一， 整个电影都在说女主的前男友多渣，哪怕是个杀人犯，总得有杀人动机吧。 只讲女主的一面之词，既然这个男人这么垃圾，你当初为何和他在一起，这点为啥不敢说了。 如果只有抱抱火了，女主是不是也要扣抱抱一个骗歌词的帽子，毕竟歌词又是女主写的送给他的。 按照女主的说...

                         "
19,河北省,"《温暖的抱抱》影评 影片如其名，真的很温暖！ 这部电影用好多表达方式传递其含义。像主人公鲍抱、宋温暖的名字与《温暖的抱抱》片名的谐音，还有电影的演绎和内核上，都在告诉大家传递温暖的含义！ 主人公鲍抱的亲情部分最让我感动，原来他的“怪”是受到了原生家庭的影响，成...

                         "
